x-axis,1,2
second,Volt,Volt
-7.059600E-03,-49.032914E-03,+101.450972E-03
-7.052200E-03,-48.974666E-03,+101.302164E-03
-7.044800E-03,-48.930665E-03,+101.134766E-03
-7.037400E-03,-48.837581E-03,+100.925610E-03
-7.030000E-03,-48.745916E-03,+100.785174E-03
-7.022600E-03,-48.636808E-03,+100.673978E-03
-7.015200E-03,-48.543328E-03,+100.553548E-03
-7.007800E-03,-48.457839E-03,+100.431279E-03
-7.000400E-03,-48.377462E-03,+100.327669E-03
-6.993000E-03,-48.330810E-03,+100.138582E-03
-6.985600E-03,-48.293027E-03,+100.003420E-03
-6.978200E-03,-48.240432E-03,+99.888409E-03
-6.970800E-03,-48.206356E-03,+99.648584E-03
-6.963400E-03,-48.149271E-03,+99.427571E-03
-6.956000E-03,-48.084484E-03,+99.219375E-03
-6.948600E-03,-47.987976E-03,+99.017287E-03
-6.941200E-03,-47.873642E-03,+98.820758E-03
-6.933800E-03,-47.775433E-03,+98.676978E-03
-6.926400E-03,-47.641042E-03,+98.543748E-03
-6.919000E-03,-47.578297E-03,+98.406171E-03
-6.911600E-03,-47.506419E-03,+98.277227E-03
-6.904200E-03,-47.461827E-03,+98.112655E-03
-6.896800E-03,-47.388505E-03,+97.987088E-03
-6.889400E-03,-47.340809E-03,+97.711211E-03
-6.882000E-03,-47.256909E-03,+97.485862E-03
-6.874600E-03,-47.129898E-03,+97.235896E-03
-6.867200E-03,-46.979131E-03,+96.974086E-03
-6.859800E-03,-46.856406E-03,+96.771071E-03
-6.852400E-03,-46.754145E-03,+96.599651E-03
-6.845000E-03,-46.693780E-03,+96.446292E-03
-6.837600E-03,-46.649408E-03,+96.322203E-03
-6.830200E-03,-46.582763E-03,+96.144407E-03
-6.822800E-03,-46.501744E-03,+95.961556E-03
-6.815400E-03,-46.367592E-03,+95.733101E-03
-6.808000E-03,-46.254332E-03,+95.457443E-03
-6.800600E-03,-46.107774E-03,+95.219124E-03
-6.793200E-03,-45.984434E-03,+95.001474E-03
-6.785800E-03,-45.917367E-03,+94.762213E-03
-6.778400E-03,-45.857499E-03,+94.565606E-03
-6.771000E-03,-45.803893E-03,+94.368558E-03
-6.763600E-03,-45.715576E-03,+94.150878E-03
-6.756200E-03,-45.588943E-03,+93.900768E-03
-6.748800E-03,-45.448579E-03,+93.656812E-03
-6.741400E-03,-45.274716E-03,+93.352774E-03
-6.734000E-03,-45.170665E-03,+93.051662E-03
-6.726600E-03,-45.094000E-03,+92.798283E-03
-6.719200E-03,-45.037976E-03,+92.607754E-03
-6.711800E-03,-44.960048E-03,+92.440592E-03
-6.704400E-03,-44.866945E-03,+92.280493E-03
-6.697000E-03,-44.708949E-03,+92.133083E-03
-6.689600E-03,-44.540738E-03,+91.862653E-03
-6.682200E-03,-44.399395E-03,+91.566877E-03
-6.674800E-03,-44.301682E-03,+91.293336E-03
-6.667400E-03,-44.232656E-03,+90.950796E-03
-6.660000E-03,-44.160489E-03,+90.715291E-03
-6.652600E-03,-44.035677E-03,+90.522482E-03
-6.645200E-03,-43.867863E-03,+90.346478E-03
