x-axis,1,2,3
second,Volt,Volt,Volt
-8.65200E-03,-50.65327E-03,-38.59296E-03,+180.90452E-03
-8.64150E-03,-51.65829E-03,-38.59296E-03,+181.90955E-03
-8.63100E-03,-51.45729E-03,-38.59296E-03,+182.91457E-03
-8.62050E-03,-52.26131E-03,-39.19598E-03,+184.92462E-03
-8.61000E-03,-52.26131E-03,-38.59296E-03,+184.92462E-03
-8.59950E-03,-52.26131E-03,-39.39698E-03,+185.92965E-03
-8.58900E-03,-52.66332E-03,-39.39698E-03,+188.94472E-03
-8.57850E-03,-53.06533E-03,-40.20100E-03,+191.95980E-03
-8.56800E-03,-53.06533E-03,-40.20100E-03,+188.94472E-03
-8.55750E-03,-53.26633E-03,-40.40201E-03,+192.96482E-03
-8.54700E-03,-53.86935E-03,-40.60301E-03,+190.95477E-03
-8.53650E-03,-53.86935E-03,-40.20100E-03,+192.96482E-03
-8.52600E-03,-54.67337E-03,-41.00502E-03,+196.98492E-03
-8.51550E-03,-54.67337E-03,-41.00502E-03,+193.96985E-03
-8.50500E-03,-55.07538E-03,-41.00502E-03,+194.97487E-03
-8.49450E-03,-55.47739E-03,-41.60804E-03,+195.97990E-03
-8.48400E-03,-55.47739E-03,-41.80904E-03,+196.98492E-03
-8.47350E-03,-55.67839E-03,-41.80904E-03,+200.00000E-03
-8.46300E-03,-56.28141E-03,-41.80904E-03,+198.99497E-03
-8.45250E-03,-56.28141E-03,-42.41206E-03,+197.98995E-03
-8.44200E-03,-56.28141E-03,-42.61306E-03,+201.00502E-03
-8.43150E-03,-56.48241E-03,-42.61306E-03,+201.00502E-03
-8.42100E-03,-56.68342E-03,-43.01507E-03,+201.00502E-03
-8.41050E-03,-57.08543E-03,-43.21608E-03,+205.02512E-03
-8.40000E-03,-57.08543E-03,-42.61306E-03,+205.02512E-03
-8.38950E-03,-57.28643E-03,-43.21608E-03,+205.02512E-03
-8.37900E-03,-57.88945E-03,-43.41708E-03,+205.02512E-03
-8.36850E-03,-57.88945E-03,-43.41708E-03,+209.04522E-03
-8.35800E-03,-57.88945E-03,-44.22111E-03,+209.04522E-03
-8.34750E-03,-58.09045E-03,-44.22111E-03,+208.04020E-03
